task_id,source_url,task_type,expected_answer_class,expected_failure_mode,public_private,include_reject,estimated_capture_minutes,hf_publish_notes
snakemake-workflow-current-basedir-001,https://github.com/snakemake/snakemake/issues/3796,snakemake-workflow-error-triage,real_regression,baseline may treat the AssertionError as generic shell failure and miss the workflow.current_basedir trigger,public,include_candidate,45,Domain-adjacent workflow task; publish provenance URL first and capture minimal issue/repro observations for replay.
snakemake-loop-newline-002,https://github.com/snakemake/snakemake/issues/3918,snakemake-parse-error-triage,real_regression,baseline may miss that a missing final newline in loop-defined rules is the trigger and suggest unrelated syntax fixes,public,include_candidate,45,Domain-adjacent workflow task; compact deterministic verifier likely possible.
snakemake-keepgoing-runtime-003,https://github.com/snakemake/snakemake/issues/3919,snakemake-runtime-error-triage,real_regression,baseline may confuse keepgoing runtime behavior with a normal rule failure and propose rerun only,public,include_candidate,45,Domain-adjacent workflow task; capture expected next action and missing evidence fields.
snakemake-github-rate-limit-004,https://github.com/snakemake/snakemake/issues/3580,snakemake-ci-or-remote-error-triage,ci_failure_root_cause,baseline may miss GitHub 429 rate limiting and workflow.source_path context and recommend generic retry,public,include_candidate,60,Useful bridge between workflow tooling and CI instability; verify source content before publishing copied observations.
nextflow-typed-workflow-parse-001,https://github.com/nextflow-io/nextflow/issues/7050,nextflow-parse-error-triage,real_regression,baseline may misclassify typed workflow parse failure as user script mistake rather than parser limitation,public,include_candidate,45,Domain-adjacent workflow task; confirm minimal repro before replay capture.
nextflow-disk-space-message-002,https://github.com/nextflow-io/nextflow/issues/7001,nextflow-misleading-error-triage,real_regression,baseline may accept the disk-space message at face value instead of identifying the diagnostic-quality issue,public,include_candidate,45,Good verifier candidate for misleading-error triage.
nextflow-static-typing-include-003,https://github.com/nextflow-io/nextflow/issues/7183,nextflow-static-typing-triage,real_regression,baseline may miss the relationship between static typing and include variables in workflow scopes,public,include_candidate,60,Domain-adjacent workflow task; capture issue and minimal repro observations.
nextflow-no-output-return-004,https://github.com/nextflow-io/nextflow/issues/7095,nextflow-process-output-triage,real_regression,baseline may miss that the misleading error depends on assigning return value from a process with no outputs,public,include_candidate,45,Good deterministic answer-class candidate if issue contains minimal reproduction.
bioconda-raw-github-rate-limit-001,https://github.com/bioconda/bioconda-recipes/issues/56282,bioconda-ci-instability-triage,ci_failure_root_cause,baseline may miss raw.githubusercontent.com rate limiting as sporadic CI failure source and recommend generic rerun,public,include_candidate,60,Bioinformatics packaging task; strong domain-adjacent public artifact.
bioconda-test-source-files-002,https://github.com/bioconda/bioconda-recipes/issues/52189,bioconda-container-test-triage,ci_failure_root_cause,baseline may miss missing test.source_files during container test and suggest package rebuild without file provenance,public,include_candidate,60,Bioinformatics packaging task; good deterministic file-presence verifier candidate.
bioconda-circleci-build-003,https://github.com/bioconda/bioconda-recipes/issues/28102,bioconda-ci-build-triage,ci_failure_root_cause,baseline may miss CircleCI-only build context and overgeneralize to recipe failure,public,include_candidate,60,Bioinformatics packaging task; inspect issue before final inclusion.
bioconda-vsearch-invalid-opcode-004,https://github.com/bioconda/bioconda-recipes/issues/10978,bioconda-runtime-ci-triage,ci_failure_root_cause,baseline may miss host-specific invalid opcode context and propose source patch before environment diagnosis,public,include_candidate,60,Bioinformatics packaging task; older issue but concrete enough for v0 candidate.
galaxy-skip-flakey-transient-001,https://github.com/galaxyproject/galaxy/issues/21506,galaxy-flaky-test-triage,flaky_test,baseline may miss relationship between skip_flakey_fails and transient_failure tests and recommend unrelated test suppression,public,include_candidate,45,Bioinformatics platform task; good domain-adjacent flaky-test candidate.
galaxy-dataset-api-flaky-002,https://github.com/galaxyproject/galaxy/issues/18862,galaxy-flaky-test-triage,flaky_test,baseline may treat the failing dataset API test as deterministic instead of requiring flaky-test classification and rerun history,public,include_candidate,45,Bioinformatics platform task; capture linked test and failure evidence if available.
galaxy-composite-output-flaky-003,https://github.com/galaxyproject/galaxy/issues/18829,galaxy-flaky-test-triage,flaky_test,baseline may miss the composite output integration-test flakiness and propose a product fix without rerun evidence,public,include_candidate,45,Bioinformatics platform task; candidate for deterministic flaky-vs-regression verifier.
nfcore-snapshot-key-order-001,https://github.com/nf-core/tools/issues/3969,nf-core-lint-failure-triage,ci_failure_root_cause,baseline may miss snapshot key ordering and stale snapshot persistence as the lint failure cause,public,include_candidate,45,NF-core workflow tooling task; strong relation to scientific pipeline environment.
nfcore-venv-merge-marker-002,https://github.com/nf-core/tools/issues/3420,nf-core-lint-failure-triage,real_regression,baseline may miss that merge-marker lint failures are false positives caused by a .venv directory,public,include_candidate,45,NF-core workflow tooling task; good false-positive lint triage candidate.
scanpy-py314-prerelease-ci-001,https://github.com/scverse/scanpy/issues/4140,scanpy-ci-compatibility-triage,ci_failure_root_cause,baseline may miss that the failure is tied to Python 3.14 prerelease dependencies and propose normal source regression debugging,public,include_candidate,60,Single-cell analysis library task; useful scientific Python CI candidate but verify logs before final inclusion.
