"task_id","family","current_capture_source","approved_source_ids","current_training_claim_status","required_next_action"
"flowcyto-gating-qc-success","flowcyto","project_local_flowcyto_fixture:CFP_Well_A4.fcs","flowcore-0877408774-e07-fcs;flowcore-bioconductor-2-22-1","smoke_only_not_public_training_claim","recapture through datalox-flow-cyto-mcp from flowCore E07 FCS and regenerate verifier-passing trajectory"
"flowcyto-gating-qc-stale-revision-failure","flowcyto","project_local_flowcyto_fixture:CFP_Well_A4.fcs","flowcore-0877408774-b08-fcs;flowcore-bioconductor-2-22-1","smoke_only_not_public_training_claim","recapture stale-revision recovery from public flowCore B08 FCS"
"flowcyto-gating-qc-report-validation-failure","flowcyto","project_local_flowcyto_fixture:CFP_Well_A4.fcs","flowcore-0877408774-b08-fcs;flowcore-bioconductor-2-22-1","smoke_only_not_public_training_claim","recapture report-validation recovery from public flowCore B08 FCS"
"molecule-fasta-import-context-001","molecule-biology","toy_repo_fixture:fixtures/fasta/single.fa","ncbi-nc005816-fasta","smoke_only_not_public_training_claim","replace toy FASTA with NC_005816.1 FASTA and recapture through datalox-molecule-biology"
"molecule-genbank-feature-annotation-001","molecule-biology","toy_repo_fixture:fixtures/genbank/linear.gb","ncbi-nc001416-genbank;ncbi-nc005816-genbank","smoke_only_not_public_training_claim","replace 30 bp toy GenBank with NC_001416.1 or NC_005816.1 and recapture feature edit"
"molecule-primer-validation-001","molecule-biology","toy_repo_fixture:fixtures/genbank/circular.gb","ncbi-nc005816-genbank","smoke_only_not_public_training_claim","replace 24 bp toy circular GenBank with NC_005816.1 and recapture primer validation"
"molecule-restriction-digest-001","molecule-biology","toy_repo_fixture:fixtures/genbank/circular.gb","ncbi-nc005816-genbank","smoke_only_not_public_training_claim","recapture digest workflow on NC_005816.1 with deterministic enzyme/tool output"
"molecule-pcr-simulation-001","molecule-biology","toy_repo_fixture:fixtures/genbank/linear.gb","ncbi-nc001416-genbank","smoke_only_not_public_training_claim","recapture PCR simulation on NC_001416.1 with primer evidence"
"fastq-qc-nanopore-fail-001","scientific-data-qc","public_pinned_fixture:multiqc-fastqc-nan-reads","multiqc-fastqc-nan-reads","source_backed_seed_row","convert current deterministic observations to canonical replay bundle before public export"
"single-cell-pbmc3k-qc-summary-001","scientific-data-qc","public_derived_fixture:multiqc-checkatlas-pbmc3k","tenx-pbmc3k-filtered-matrix;multiqc-checkatlas-pbmc3k-qc;multiqc-checkatlas-pbmc3k-summary","source_backed_but_derivation_not_locked","add locked QC-generation script from 10x PBMC3k or mark as derived-table-only"
"flowcyto-fcs-compensation-metadata-001","scientific-data-qc","public_pinned_fixture:flowcore-0877408774-e07-fcs","flowcore-0877408774-e07-fcs;flowcore-compmatrix","source_backed_seed_row","convert current deterministic observations to canonical replay bundle before public export"
"protein-structure-ap5a-prep-001","scientific-data-qc","public_provider_fixture:rcsb-1ake","rcsb-1ake-cif;rcsb-1ake-entry-json","source_backed_seed_row","convert current deterministic observations to canonical replay bundle before public export"
"rnaseq-alignment-qualimap-low-mapq-001","scientific-data-qc","public_pinned_fixture:multiqc-qualimap-zero-aligned","multiqc-qualimap-zero-aligned","source_backed_seed_row","convert current deterministic observations to canonical replay bundle before public export"
