"rank","task_id","family","source_ref","source_publication_status","task_type","expected_answer_class","expected_failure_mode","minimum_tool_steps","include_decision","hf_publication_note"
"1","flowcyto-gating-qc-success","flowcyto","datalox-flow-cyto-mcp:tasks/flowcyto-gating-qc-basic/flowcyto-gating-qc-success.json","repo_fixture_needs_public_pin","gate_qc_report","flowcyto_report_pass","stops_after_open_fcs_or_skips_stats_qc_evidence","6","include_candidate","Publish task spec and derived replay observations after fixture/license review; do not require vision judge."
"2","flowcyto-gating-qc-stale-revision-failure","flowcyto","datalox-flow-cyto-mcp:tasks/flowcyto-gating-qc-basic/flowcyto-gating-qc-stale-revision-failure.json","repo_fixture_needs_public_pin","revision_recovery","flowcyto_revision_recovery","submits_report_with_stale_expected_revision","6","include_candidate","Good recovery task because verifier can check stale_revision error and corrected revision."
"3","flowcyto-gating-qc-report-validation-failure","flowcyto","datalox-flow-cyto-mcp:tasks/flowcyto-gating-qc-basic/flowcyto-gating-qc-report-validation-failure.json","repo_fixture_needs_public_pin","report_validation_recovery","flowcyto_report_recovery","submits_report_without_stats_ref_or_qc_ref","6","include_candidate","Good negative-to-recovery task because report validator returns deterministic missing_report_field."
"4","molecule-fasta-import-context-001","molecule-biology","datalox-molecule-biology:fixtures/fasta/single.fa","repo_fixture_needs_public_pin","sequence_context","molecule_context_decision","infers_sequence_facts_without_get_sequence_context","3","include_candidate","Use open_sequence and get_sequence_context; publish fixture if repo license permits."
"5","molecule-genbank-feature-annotation-001","molecule-biology","datalox-molecule-biology:fixtures/genbank/linear.gb","repo_fixture_needs_public_pin","feature_annotation","molecule_feature_annotation","patches_workspace_directly_or_uses_wrong_expected_revision","4","include_candidate","Use open_sequence, get_sequence_context, upsert_feature, validate_workspace."
"6","molecule-primer-validation-001","molecule-biology","datalox-molecule-biology:fixtures/genbank/circular.gb","repo_fixture_needs_public_pin","primer_validation","molecule_primer_decision","adds_primer_without_revision_or_sequence_evidence","4","include_candidate","Use upsert_primer and validate_workspace; verifier checks primer id, revision, and evidence refs."
"7","molecule-restriction-digest-001","molecule-biology","datalox-molecule-biology:fixtures/genbank/circular.gb","repo_fixture_needs_public_pin","restriction_digest","molecule_digest_decision","claims_digest_result_without_find_restriction_sites_or_simulate_digest","4","include_candidate","Deterministic tool result should make this cheap and replay-friendly."
"8","molecule-pcr-simulation-001","molecule-biology","datalox-molecule-biology:fixtures/genbank/linear.gb","repo_fixture_needs_public_pin","pcr_simulation","molecule_pcr_decision","claims_amplicon_without_simulate_pcr_evidence","4","include_candidate","Use only if primer fixture/spec is frozen; otherwise keep as reserve."
"9","fastq-qc-nanopore-fail-001","scientific-data-qc","https://raw.githubusercontent.com/MultiQC/test-data/main/data/modules/fastqc/nan_reads/fastqc_data.txt","public_url_pinned","fastq_qc","fastq_qc_decision","anchors_on_one_pass_or_warn_module_and_misses_failed_modules","5","include_candidate","Existing scientific-data world; publish derived parser observations first."
"10","single-cell-pbmc3k-qc-summary-001","scientific-data-qc","https://cf.10xgenomics.com/samples/cell-exp/1.1.0/pbmc3k/pbmc3k_filtered_gene_bc_matrices.tar.gz","public_url_needs_locked_derivation","single_cell_qc","single_cell_qc_decision","uses_generic_cell_count_language_without_metric_evidence","5","include_candidate","Requires locked QC-generation script and derived table before publication."
"11","flowcyto-fcs-compensation-metadata-001","scientific-data-qc","https://raw.githubusercontent.com/RGLab/flowCore/master/inst/extdata/0877408774.E07","public_url_pinned","fcs_metadata_qc","flowcyto_metadata_decision","jumps_to_gating_or_plot_claims_without_channel_and_compensation_evidence","5","include_candidate","This is metadata QC, not full gating; keeps cytometry representation without vision dependency."
"12","protein-structure-ap5a-prep-001","scientific-data-qc","https://files.rcsb.org/download/1AKE.cif","public_url_verified","protein_structure_prep","protein_structure_prep_decision","claims_design_readiness_without_method_resolution_ligand_entity_evidence","5","include_candidate","Structure-readiness task only; not protein design."
"13","rnaseq-alignment-qualimap-low-mapq-001","scientific-data-qc","https://raw.githubusercontent.com/MultiQC/test-data/main/data/modules/qualimap/bam_qc/issue_2199_zero_aligned/genome_results.txt","public_url_pinned","alignment_qc","workflow_result_qc_decision","overweights_mapped_read_percentage_and_misses_zero_aligned_bases_low_mapq","5","include_candidate","Existing scientific-data world; deterministic parser/verifier path."
