"task_id","family","sub_environment","split","task_pattern","task_name","input_data_ids","expected_tool_path","verifier","status"
"flowcyto-existing-gate-edit-revision","flowcyto","flowcyto-revision-safe-gating","train","multi_step","FlowCyto gate edit","flowcyto_cfp_well_a4","open_fcs -> get_plot_context -> upsert_gate -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","mechanical_workspace_verifier","needs_source_pin"
"flowcyto-gating-qc-success","flowcyto","flowcyto-gating-qc","train","happy_path","FlowCyto gating QC report","flowcyto_cfp_well_a4","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","mechanical_workspace_verifier","needs_source_pin"
"flowcyto-gating-qc-stale-revision-failure","flowcyto","flowcyto-qc-recovery","dev","error_recovery","FlowCyto stale revision recovery","flowcyto_cfp_well_a4","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report -> get_workspace_revision -> submit_report","mechanical_workspace_verifier","needs_source_pin"
"flowcyto-gating-qc-report-validation-failure","flowcyto","flowcyto-qc-recovery","test","error_recovery","FlowCyto report validation recovery","flowcyto_cfp_well_a4","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report -> submit_report","mechanical_workspace_verifier","needs_source_pin"
"flowcyto-doublet-exclusion-gate","flowcyto","flowcyto-gating-qc","train","happy_path","FlowCyto doublet exclusion gate","flowcyto_cytotrol_1","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","mechanical_workspace_verifier","planned"
"flowcyto-parent-gate-child-gate","flowcyto","flowcyto-hierarchical-gating","train","multi_step","FlowCyto parent gate child gate workflow","flowcyto_cytotrol_1","open_fcs -> get_plot_context -> upsert_gate -> upsert_gate -> compute_gate_stats -> compute_gate_stats -> validate_gate_qc -> submit_report","mechanical_workspace_verifier","planned"
"flowcyto-invalid-axis-recovery","flowcyto","flowcyto-qc-recovery","dev","error_recovery","FlowCyto invalid axis recovery","flowcyto_cytotrol_1","open_fcs -> get_plot_context -> upsert_gate -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","mechanical_workspace_verifier","planned"
"flowcyto-marker-positive-population-gate","flowcyto","flowcyto-gating-qc","test","happy_path","FlowCyto marker-positive population gate","flowcyto_cytotrol_1","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","mechanical_workspace_verifier","planned"
"molecule-genbank-feature-annotation-001","molecule-biology","molecule-feature-annotation","train","happy_path","Lambda GenBank feature annotation","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_feature -> validate_workspace","mechanical_workspace_verifier","ready"
"molecule-restriction-digest-001","molecule-biology","molecule-digest-simulation","train","happy_path","Lambda restriction digest","lambda_nc001416","open_sequence -> get_sequence_context -> find_restriction_sites -> simulate_digest","domain_algorithmic_verifier","ready"
"molecule-pcr-simulation-001","molecule-biology","molecule-pcr-simulation","train","multi_step","Lambda PCR simulation","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_primer -> upsert_primer -> simulate_pcr -> validate_workspace","domain_algorithmic_verifier","ready"
"molecule-orf-translation-annotation","molecule-biology","molecule-orf-translation","train","multi_step","Lambda ORF translation annotation","lambda_nc001416","open_sequence -> get_sequence_context -> find_orfs -> translate_region -> upsert_feature -> validate_workspace","domain_algorithmic_verifier","ready"
"molecule-export-genbank-after-edit","molecule-biology","molecule-round-trip-export","dev","round_trip","Lambda edit then GenBank export","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_feature -> validate_workspace -> export_genbank -> validate_workspace","mechanical_workspace_verifier","ready"
"molecule-reverse-complement-feature-annotation","molecule-biology","molecule-feature-annotation","train","happy_path","Lambda reverse-complement feature annotation","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_feature -> validate_workspace","mechanical_workspace_verifier","planned"
"molecule-multi-feature-annotation","molecule-biology","molecule-feature-annotation","train","multi_step","Lambda multi-feature annotation","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_feature -> upsert_feature -> upsert_feature -> validate_workspace","mechanical_workspace_verifier","planned"
"molecule-restriction-digest-multi-enzyme","molecule-biology","molecule-digest-simulation","train","multi_step","Lambda multi-enzyme restriction digest","lambda_nc001416","open_sequence -> get_sequence_context -> find_restriction_sites -> find_restriction_sites -> simulate_digest","domain_algorithmic_verifier","planned"
"molecule-restriction-digest-no-cut","molecule-biology","molecule-digest-simulation","train","happy_path","Lambda no-cut restriction digest","lambda_nc001416","open_sequence -> get_sequence_context -> find_restriction_sites -> simulate_digest","domain_algorithmic_verifier","planned"
"molecule-pcr-primer-conflict-detection","molecule-biology","molecule-pcr-simulation","train","error_recovery","Lambda PCR primer conflict detection","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_primer -> upsert_primer -> simulate_pcr -> validate_workspace","domain_algorithmic_verifier","planned"
"molecule-pcr-failure-corrected-primer","molecule-biology","molecule-pcr-simulation","train","error_recovery","Lambda PCR failure corrected primer","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_primer -> simulate_pcr -> upsert_primer -> simulate_pcr -> validate_workspace","domain_algorithmic_verifier","planned"
"molecule-orf-multiple-candidates","molecule-biology","molecule-orf-translation","train","multi_step","Lambda multiple ORF candidate translation","lambda_nc001416","open_sequence -> get_sequence_context -> find_orfs -> translate_region -> translate_region -> upsert_feature -> validate_workspace","domain_algorithmic_verifier","planned"
"molecule-genbank-export-reopen-validate","molecule-biology","molecule-round-trip-export","dev","round_trip","Lambda GenBank export reopen validate","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_feature -> validate_workspace -> export_genbank -> open_sequence -> validate_workspace","mechanical_workspace_verifier","planned"
"molecule-invalid-feature-coordinate-recovery","molecule-biology","molecule-error-recovery","dev","error_recovery","Lambda invalid feature coordinate recovery","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_feature -> upsert_feature -> validate_workspace","mechanical_workspace_verifier","planned"
"molecule-invalid-primer-position-recovery","molecule-biology","molecule-error-recovery","test","error_recovery","Lambda invalid primer position recovery","lambda_nc001416","open_sequence -> get_sequence_context -> upsert_primer -> upsert_primer -> simulate_pcr -> validate_workspace","domain_algorithmic_verifier","planned"
"protein-binding-site-annotation","protein-mcp","protein-binding-site-annotation","train","happy_path","Protein ligand binding-site annotation","protein_1hbb_cif","open_structure -> list_ligands -> annotate_binding_site -> get_scene_annotations -> validate_workspace","mechanical_workspace_verifier","needs_source_pin"
"protein-view-revision-safe-style","protein-mcp","protein-view-state","train","multi_step","Protein view revision-safe style update","protein_1tii_pdb","open_structure -> open_protein_viewer -> get_structure_context -> update_protein_view -> validate_workspace","mechanical_workspace_verifier","needs_source_pin"
"protein-ligand-contact-scene-repair","protein-mcp","protein-scene-repair","test","repair","Protein ligand scene repair","protein_hemoglobin_cif","open_structure -> list_ligands -> get_scene_annotations -> annotate_binding_site -> get_scene_annotations -> validate_workspace","mechanical_workspace_verifier","needs_source_pin"
"protein-missing-ligand-recovery","protein-mcp","protein-scene-repair","dev","error_recovery","Protein missing ligand recovery","protein_1hbb_cif","open_structure -> list_ligands -> get_scene_annotations -> annotate_binding_site -> validate_workspace","mechanical_workspace_verifier","planned"
"protein-view-stale-revision-recovery","protein-mcp","protein-view-state","train","error_recovery","Protein view stale revision recovery","protein_1tii_pdb","open_structure -> open_protein_viewer -> get_structure_context -> update_protein_view -> get_structure_context -> update_protein_view -> validate_workspace","mechanical_workspace_verifier","planned"
"protein-chain-specific-annotation","protein-mcp","protein-binding-site-annotation","train","multi_step","Protein chain-specific annotation","protein_1hbb_cif","open_structure -> get_structure_context -> list_ligands -> annotate_binding_site -> get_scene_annotations -> validate_workspace","mechanical_workspace_verifier","planned"
"protein-scene-export-validation","protein-mcp","protein-scene-repair","test","round_trip","Protein scene export validation","protein_1hbb_cif","open_structure -> list_ligands -> annotate_binding_site -> get_scene_annotations -> export_scene -> validate_workspace","mechanical_workspace_verifier","planned"
