"task_id","family","sub_environment","split","task_intent","expected_tool_path","input_data_id","input_data_status","environment_level","scaffold_tags","failure_mode","verifier_strength","sft_export_ready","eval_export_ready","provider_tool_export_ready","source_artifacts","evidence_artifacts","non_substitutability_claim","scale_priority","target_trainable_pack"
"flowcyto-existing-gate-edit-revision","flowcyto","flowcyto_gating_qc","train","edit existing gate revision-safe and submit evidence-backed QC report","open_fcs -> get_plot_context -> upsert_gate -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","flowcyto_cfp_well_a4","repo_fixture_review_needed","F2_stateful_workspace","direct_tool_use; react_compatible","none","mechanical_state_and_evidence","yes","yes","partial","datalox-flow-cyto-mcp/testdata/fixtures/CFP_Well_A4.fcs","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json","Gate stats depend on FCS-derived plot preview; second upsert_gate must use revision returned by first upsert_gate; workspace revision tracking cannot be synthesized without real tool observations","P1_after_source_pin","flowcyto-40-v1"
"flowcyto-gating-qc-success","flowcyto","flowcyto_gating_qc","train","create evidence-backed gate QC report","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","flowcyto_cfp_well_a4","repo_fixture_review_needed","F2_stateful_workspace","direct_tool_use; react_compatible","none","mechanical_state_and_evidence","yes","yes","partial","datalox-flow-cyto-mcp/testdata/fixtures/CFP_Well_A4.fcs","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json","Gate stats depend on FCS-derived plot preview and deterministic workspace validation; report submission requires chained evidence IDs from real upsert_gate, compute_gate_stats, and validate_gate_qc observations","P1_after_source_pin","flowcyto-40-v1"
"flowcyto-gating-qc-stale-revision-failure","flowcyto","flowcyto_revision_recovery","dev","recover from stale workspace revision on submit_report","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report -> get_workspace_revision -> submit_report","flowcyto_cfp_well_a4","repo_fixture_review_needed","F3_workflow_with_recovery","direct_tool_use; react_compatible","stale_revision","mechanical_state_and_evidence","partial","yes","partial","datalox-flow-cyto-mcp/testdata/fixtures/CFP_Well_A4.fcs","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json; verifier/expected.fail.json","stale_revision error is generated by real workspace state management; recovery path requires valid current revision from get_workspace_revision tool observation; error code and recovery token cannot be guessed","P1_after_source_pin","flowcyto-40-v1"
"flowcyto-gating-qc-report-validation-failure","flowcyto","flowcyto_revision_recovery","test","recover from report validation failure caused by missing evidence refs","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report -> submit_report","flowcyto_cfp_well_a4","repo_fixture_review_needed","F3_workflow_with_recovery","direct_tool_use; react_compatible","report_validation_missing_evidence","mechanical_state_and_evidence","no","yes","partial","datalox-flow-cyto-mcp/testdata/fixtures/CFP_Well_A4.fcs","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json; verifier/expected.fail.json","missing_report_field error is generated by real tool validation logic; recovery requires stats_ref and qc_ref values from actual compute_gate_stats and validate_gate_qc observations; field values are not guessable","P1_after_source_pin","flowcyto-40-v1"
"molecule-genbank-feature-annotation-001","molecule-biology","molecule_sequence_annotation","train","annotate GenBank sequence features with tool evidence","open_sequence -> get_sequence_context -> upsert_feature -> validate_workspace","lambda_nc001416","public_source_derived","F2_stateful_workspace","direct_tool_use; react_compatible","none","mechanical_state_and_evidence","yes","yes","partial","NCBI:NC_001416.1; handoff/env-data-proof-v0/source-artifacts/derived/NC_001416.1.parser-safe.gb","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json","Feature coordinates and qualifiers derive from real GenBank parsing; workspace validation checks structural integrity of annotations against actual sequence bounds","P0_scale_now","bio-mcp-120-v1"
"molecule-restriction-digest-001","molecule-biology","molecule_digest_simulation","train","simulate restriction digest and report deterministic fragment evidence","open_sequence -> get_sequence_context -> find_restriction_sites -> simulate_digest","lambda_nc001416","public_source_derived","F2_5_replay_backed_domain_mcp","direct_tool_use; react_compatible","none","domain_algorithmic_check","yes","yes","partial","NCBI:NC_001416.1; handoff/env-data-proof-v0/source-artifacts/derived/NC_001416.1.parser-safe.gb","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json","Digest fragments depend on deterministic enzyme site search and cutting simulation on real lambda sequence; fragment count and bounds cannot be fabricated without running the restriction digest algorithm","P0_scale_now","bio-mcp-120-v1"
"molecule-pcr-simulation-001","molecule-biology","molecule_digest_simulation","train","simulate PCR with persisted primers and report amplicon decision","open_sequence -> get_sequence_context -> upsert_primer -> upsert_primer -> simulate_pcr -> validate_workspace","lambda_nc001416","public_source_derived","F2_5_replay_backed_domain_mcp","direct_tool_use; react_compatible","none","domain_algorithmic_check","yes","yes","partial","NCBI:NC_001416.1; handoff/env-data-proof-v0/source-artifacts/derived/NC_001416.1.parser-safe.gb","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json","Amplicon result depends on real primer binding simulation against actual lambda sequence; primer_ids must come from upsert_primer observations; amplicon decision not synthesizable without running the PCR algorithm","P0_scale_now","bio-mcp-120-v1"
"molecule-orf-translation-annotation","molecule-biology","molecule_sequence_annotation","train","find ORFs, translate a region, and annotate with translation evidence","open_sequence -> get_sequence_context -> find_orfs -> translate_region -> upsert_feature -> validate_workspace","lambda_nc001416","public_source_derived","F2_stateful_workspace","direct_tool_use; react_compatible; plan_execute_compatible","none","mechanical_state_and_evidence","yes","yes","partial","NCBI:NC_001416.1; handoff/env-data-proof-v0/source-artifacts/derived/NC_001416.1.parser-safe.gb","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json","ORF coordinates and translation output depend on real sequence parsing; annotation evidence IDs must come from actual find_orfs and translate_region tool observations","P0_scale_now","bio-mcp-120-v1"
"molecule-export-genbank-after-edit","molecule-biology","molecule_sequence_annotation","dev","edit sequence annotation then export valid GenBank artifact","open_sequence -> get_sequence_context -> upsert_feature -> validate_workspace -> export_genbank -> validate_workspace","lambda_nc001416","public_source_derived","F2_stateful_workspace","direct_tool_use; react_compatible","none","mechanical_state_and_evidence","partial","yes","partial","NCBI:NC_001416.1; handoff/env-data-proof-v0/source-artifacts/derived/NC_001416.1.parser-safe.gb","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json","GenBank export validity depends on real workspace state after annotation edit; double validate_workspace checks pre- and post-export structural integrity against actual sequence bounds","P0_scale_now","bio-mcp-120-v1"
"protein-binding-site-annotation","protein-mcp","protein_scene_annotation","train","annotate HEM ligand binding site and validate scene with evidence refs","open_structure -> list_ligands -> annotate_binding_site -> get_scene_annotations -> validate_workspace","protein_1hbb_hemoglobin","public_pin_pending","F2_5_replay_backed_domain_mcp","direct_tool_use; react_compatible","none","mechanical_state_and_evidence","yes","yes","partial","datalox-protein-mcp/testing/data/1hbb_entity_poly_seq.cif","task.spec.json; tools/tool-observations.jsonl; verifier/verifier.spec.json; verifier/expected.pass.json","Binding site annotations depend on structure-derived ligand list from CIF file; scene state tracks real annotation operations; ligand IDs come from actual list_ligands observations","P1_after_source_pin","bio-mcp-120-v1"
