"task_id","family","split","task_name","expected_tool_path","source_status"
"flowcyto-existing-gate-edit-revision","flowcyto","train","FlowCyto gate edit","open_fcs -> get_plot_context -> upsert_gate -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","Repo FlowCyto FCS fixture; public flowCore recapture still pending"
"flowcyto-gating-qc-success","flowcyto","train","FlowCyto gating QC report","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report","Repo FlowCyto FCS fixture; public flowCore recapture still pending"
"flowcyto-gating-qc-stale-revision-failure","flowcyto","dev","FlowCyto stale revision recovery","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report -> submit_report","Repo FlowCyto FCS fixture; recovery failure is real tool behavior"
"flowcyto-gating-qc-report-validation-failure","flowcyto","test","FlowCyto report validation recovery","open_fcs -> get_plot_context -> upsert_gate -> compute_gate_stats -> validate_gate_qc -> submit_report -> submit_report","Repo FlowCyto FCS fixture; validation failure is real tool behavior"
"molecule-genbank-feature-annotation-001","molecule-biology","train","Lambda GenBank feature annotation","open_sequence -> get_sequence_context -> upsert_feature -> validate_workspace","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"molecule-restriction-digest-001","molecule-biology","train","Lambda restriction digest","open_sequence -> get_sequence_context -> find_restriction_sites -> simulate_digest","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"molecule-pcr-simulation-001","molecule-biology","train","Lambda PCR simulation","open_sequence -> get_sequence_context -> upsert_primer -> upsert_primer -> simulate_pcr -> validate_workspace","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"molecule-orf-translation-annotation","molecule-biology","train","Lambda ORF translation annotation","open_sequence -> get_sequence_context -> find_orfs -> translate_region -> upsert_feature -> validate_workspace","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"molecule-export-genbank-after-edit","molecule-biology","dev","Lambda edit then GenBank export","open_sequence -> get_sequence_context -> upsert_feature -> validate_workspace -> export_genbank -> validate_workspace","NCBI NC_001416.1 raw source plus parser-safe derived GenBank artifact"
"protein-binding-site-annotation","protein-mcp","train","Protein ligand binding-site annotation","open_structure -> list_ligands -> annotate_binding_site -> get_scene_annotations -> validate_workspace","Protein MCP hemoglobin CIF fixture; public source pin pending"
"protein-view-revision-safe-style","protein-mcp","train","Protein view revision-safe style update","open_structure -> open_protein_viewer -> get_structure_context -> update_protein_view -> validate_workspace","Protein MCP 1tii PDB fixture; public source pin pending"
"protein-ligand-contact-scene-repair","protein-mcp","test","Protein ligand scene repair","open_structure -> list_ligands -> get_scene_annotations -> annotate_binding_site -> get_scene_annotations -> validate_workspace","Protein MCP hemoglobin CIF fixture; public source pin pending"
